p_id,session,age,group,corsi_acc_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_error_t,PBI_error_t,cf_switch_acc_t,psedooneFArate_t,psedotwoFArate_t,stroop_error_t,flankerswitch_error_t,flank_inh_error_t
61,1,9.6499996,1,.42857143,5,17,2.781496,166,-.098484851,-.37142858,3.8277512,.25,.071428575,.055555567,0,-.044736847
61,2,9.6499996,1,.5714286,7,17,2.781496,227,.083333336,.33333334,-8.1447983,,,,,
62,0,9.8861113,1,.5714286,6,9,-19.434219,229,.083333336,.33329782,-10.526314,0,.035714287,.05555556,.34523809,.1
62,1,9.8861113,1,,,9,-19.434219,,,,,0,.035714287,,.34523809,.1
62,2,9.8861113,1,,,9,-19.434219,,,,,,,,,
65,0,10.083333,1,.42857143,5,14,-3.3619266,236,.33333334,.777762,,.035714287,.071428575,.027777776,.3214286,.065789461
65,1,10.083333,1,.5,5,14,-3.3619266,225,0,0,3.8277512,.071428575,.39285713,0,.27380952,.2
65,2,10.083333,1,.5,7,14,-3.3619266,198.5,.16666666,.5,-4.072403,,,,,
66,0,8.1194448,1,.5,6,16,-12.120771,203,.16666666,.5,3.8277512,.071428575,.035714287,-.027777784,.13095242,.2
66,1,8.1194448,1,.42857143,5,16,-12.120771,205.38461,0,0,9.0909119,.071428575,.10714286,.11111111,.26190472,-.050000001
66,2,8.1194448,1,.42857143,6,16,-12.120771,226.55556,.083333336,.33329782,-5.8823547,,,,,
67,0,10.138889,2,.5,7,15,-12.508991,212,.16666666,.5,,.14285715,.14285715,.16666666,.071428597,.21578947
67,1,10.138889,2,.5,7,15,-12.508991,249.23077,.16666667,.59997439,3.8277512,.035714287,.035714287,.1388889,.11904758,-.049999997
67,2,10.138889,2,.5,7,15,-12.508991,290,-.083333336,-.33329782,-4.072403,,,,,
68,0,6.5250001,2,.35714287,4,17,-4.3802972,241,.25,.60000002,,.25,0,.11111111,.071428597,.049999982
68,1,6.5250001,2,.35714287,4,17,-4.3802972,265,.91666669,.84615386,4.784687,.25,.17857143,.1111111,.15476194,-.097368427
68,2,6.5250001,2,.53846157,6,17,-4.3802972,240.3158,.16666667,.59997439,-4.072403,,,,,
69,0,6.852778,1,.14285715,,12,-5.0431175,366.61539,.090909094,.37139413,-26.794258,.4642857,.2857143,.25,.13095236,-.23421055
69,1,6.852778,1,,,12,-5.0431175,,,,,,,,,
69,2,6.852778,1,,,12,-5.0431175,,,,,,,,,
70,0,6.6555557,2,.42857143,5,12,-15.521034,347,-.083333336,-.33333334,,0,0,,-.023809552,
70,1,6.6555557,2,,,12,-15.521034,,,,,,,,,
70,2,6.6555557,2,,,12,-15.521034,,,,,,,,,
71,0,6.1527777,1,.35714287,,29,.75006956,257,0,0,-5.2631607,.17857143,.42857143,.027777778,-.071428567,.23099416
71,1,6.1527777,1,.35714287,4,29,.75006956,112.38461,.33333334,.777762,3.8277512,.035714287,.14285715,.027777778,.11904758,.36842105
71,2,6.1527777,1,.44444445,5,29,.75006956,247.22223,0,0,7.6923065,,,,,
72,0,8.4333334,1,.42857143,5,8,-13.461528,,.25,.60000002,-1.4354019,0,.035714287,.02777778,-.071428597,0
72,1,8.4333334,1,,,8,-13.461528,,,,,,,,,
72,2,8.4333334,1,.5,5,8,-13.461528,,0,0,7.6923065,,,,,
73,0,10.755555,2,.42857143,5,27,-3.8913217,255.53847,.16666667,.59997439,12.918655,.035714287,.17857143,.16666666,.33333334,.15000001
73,1,10.755555,2,.5,6,27,-3.8913217,268,.25,.71426612,7.6555023,.035714287,.17857143,.027777778,.16666669,.2
73,2,10.755555,2,.5,7,27,-3.8913217,210.33333,-.083333336,-.33329782,7.6923065,,,,,
